Latitude,Longitude,Datum,Horizontal Accuracy,State Code,County Code,Site Num,Parameter Code,POC,AQS Parameter Desc,Date Local,24 Hour Local,Date GMT,24 Hour GMT,Year GMT,Day In Year GMT,Sample Measurement,Units of Measure,Sample Duration,Sample Frequency,Detection Limit,Measurement Uncertainty,Qualifier Description,Method Type,Method Description
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","10:00","2018-01-15","18:00",2018,15,22,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","10:00","2018-01-15","18:00",2018,15,36,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","06:00","2018-01-15","14:00",2018,15,18,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","06:00","2018-01-15","14:00",2018,15,2,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","07:00","2018-01-15","15:00",2018,15,22,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","07:00","2018-01-15","15:00",2018,15,5,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","05:00","2018-01-15","13:00",2018,15,15,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","05:00","2018-01-15","13:00",2018,15,6,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","04:00","2018-01-15","12:00",2018,15,15,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","04:00","2018-01-15","12:00",2018,15,4,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","03:00","2018-01-15","11:00",2018,15,16,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","03:00","2018-01-15","11:00",2018,15,0,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","02:00","2018-01-15","10:00",2018,15,14,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","02:00","2018-01-15","10:00",2018,15,3,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","01:00","2018-01-15","09:00",2018,15,12,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","01:00","2018-01-15","09:00",2018,15,5,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","23:00","2018-02-20","07:00",2018,51,14,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-02-19","23:00","2018-02-20","07:00",2018,51,8,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","22:00","2018-02-20","06:00",2018,51,21,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-02-19","22:00","2018-02-20","06:00",2018,51,15,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","00:00","2018-02-19","08:00",2018,50,148,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-02-19","00:00","2018-02-19","08:00",2018,50,19,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","20:00","2018-02-20","04:00",2018,51,12,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-02-19","20:00","2018-02-20","04:00",2018,51,13,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","19:00","2018-02-20","03:00",2018,51,18,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-02-19","19:00","2018-02-20","03:00",2018,51,18,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","21:00","2018-02-20","05:00",2018,51,18,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-02-19","21:00","2018-02-20","05:00",2018,51,13,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","18:00","2018-02-20","02:00",2018,51,17,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-02-19","18:00","2018-02-20","02:00",2018,51,8,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","17:00","2018-02-20","01:00",2018,51,31,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-02-19","17:00","2018-02-20","01:00",2018,51,9,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","15:00","2018-02-19","23:00",2018,50,17,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-02-19","15:00","2018-02-19","23:00",2018,50,15,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-02-19","14:00","2018-02-19","22:00",2018,50,23,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
